"Date","Price","Open","High","Low","Vol.","Change %"
"06/04/2024","5,847.0","5,861.5","5,887.0","5,848.0","6.32K","-0.43%"
"06/03/2024","5,872.5","5,928.4","5,940.0","5,871.0","7.81K","0.75%"
"05/31/2024","5,829.0","5,904.0","5,925.0","5,820.0","3.43K","-1.33%"
"05/30/2024","5,907.5","5,938.1","5,946.0","5,903.5","2.13K","-0.88%"
"05/29/2024","5,960.0","5,971.0","5,971.0","5,928.5","4.97K","-0.07%"
"05/28/2024","5,964.0","5,981.0","5,984.0","5,937.0","10.37K","0.28%"
"05/24/2024","5,947.5","5,920.7","5,950.3","5,911.0","1.34K","0.11%"
"05/23/2024","5,941.0","5,942.0","5,955.8","5,919.4","3.18K","0.88%"
"05/22/2024","5,889.0","5,882.0","5,891.0","5,875.3","1.38K","-0.20%"
"05/21/2024","5,901.0","5,891.0","5,902.0","5,879.2","1.40K","-0.07%"
"05/20/2024","5,905.0","5,892.0","5,907.0","5,865.0","5.80K","0.69%"
"05/17/2024","5,864.5","5,872.0","5,888.6","5,867.0","4.04K","-0.72%"
"05/16/2024","5,907.0","5,931.0","5,931.0","5,906.1","6.64K","0.27%"
"05/15/2024","5,891.0","5,857.0","5,886.5","5,840.0","6.17K","1.24%"
"05/14/2024","5,819.0","5,817.0","5,845.4","5,805.0","4.70K","-0.07%"
"05/13/2024","5,823.0","5,856.0","5,856.0","5,810.0","4.22K","-0.67%"
"05/10/2024","5,862.5","5,864.0","5,884.0","5,851.8","7.44K","0.00%"
"05/09/2024","5,862.5","5,851.0","5,857.9","5,832.0","2.10K","0.15%"
"05/08/2024","5,854.0","5,864.0","5,865.0","5,824.8","18.17K","0.17%"
"05/07/2024","5,844.0","5,857.0","5,857.0","5,813.0","14.50K","2.15%"
"05/03/2024","5,721.0","5,678.0","5,732.0","5,662.3","2.12K","1.06%"
"05/02/2024","5,661.0","5,667.0","5,685.0","5,642.6","8.16K","0.40%"
"05/01/2024","5,638.5","5,660.3","5,669.7","5,628.0","10.63K","-1.22%"
"04/30/2024","5,708.0","5,725.0","5,751.5","5,708.0","7.54K","0.18%"
"04/29/2024","5,698.0","5,759.0","5,764.0","5,698.0","25.81K","-0.73%"
"04/26/2024","5,740.0","5,701.0","5,749.0","5,673.0","11.46K","2.64%"
"04/25/2024","5,592.5","5,591.1","5,598.0","5,542.0","13.19K","-2.31%"
"04/24/2024","5,725.0","5,774.0","5,781.0","5,722.0","29.57K","0.07%"
"04/23/2024","5,721.0","5,667.0","5,724.0","5,667.0","4.86K","1.49%"
"04/22/2024","5,637.0","5,625.6","5,682.0","5,615.0","10.97K","-0.10%"
"04/19/2024","5,642.5","5,660.0","5,688.0","5,627.0","8.12K","-1.72%"
"04/18/2024","5,741.5","5,748.0","5,748.0","5,700.0","4.75K","-0.09%"
"04/17/2024","5,746.5","5,743.8","5,797.0","5,743.8","3.38K","-0.48%"
"04/16/2024","5,774.0","5,756.3","5,774.0","5,737.6","11.96K","-1.63%"
"04/15/2024","5,869.5","5,880.0","5,912.8","5,864.0","3.16K","-0.36%"
"04/12/2024","5,891.0","5,903.4","5,929.0","5,871.4","10.00K","0.42%"
"04/11/2024","5,866.5","5,865.6","5,879.0","5,826.3","4.72K","0.44%"
"04/10/2024","5,841.0","5,808.0","5,825.0","5,744.0","5.94K","1.20%"
"04/09/2024","5,772.0","5,845.5","5,861.8","5,751.5","11.20K","-1.45%"
"04/08/2024","5,857.0","5,864.0","5,889.0","5,842.0","16.29K","0.05%"
"04/05/2024","5,854.0","5,789.0","5,852.6","5,720.9","4.93K","-0.48%"
"04/04/2024","5,882.5","5,873.5","5,895.0","5,861.0","6.63K","0.14%"
"04/03/2024","5,874.0","5,835.8","5,876.0","5,821.8","6.51K","1.03%"
"04/02/2024","5,814.0","5,866.0","5,903.0","5,795.0","19.10K","-0.77%"
"03/28/2024","5,859.0","5,838.0","5,874.0","5,838.0","9.17K","0.21%"
"03/27/2024","5,847.0","5,910.0","5,910.0","5,834.8","9.65K","-0.98%"
"03/26/2024","5,905.0","5,904.0","5,915.0","5,897.1","14.42K","0.22%"
"03/25/2024","5,892.0","5,907.1","5,912.0","5,864.0","9.65K","-0.34%"
"03/22/2024","5,912.0","5,916.0","5,927.0","5,891.0","7.03K","0.24%"
"03/21/2024","5,898.0","5,833.0","5,900.9","5,806.0","6.30K","2.72%"
"03/20/2024","5,742.0","5,744.0","5,756.0","5,729.0","3.78K","0.51%"
"03/19/2024","5,713.0","5,683.4","5,722.0","5,668.3","6.24K","-0.04%"
"03/18/2024","5,715.5","5,694.6","5,729.0","5,682.3","4.15K","1.17%"
"03/15/2024","5,649.5","5,688.0","5,709.3","5,642.9","2.82K","-0.80%"
"03/14/2024","5,695.0","5,710.0","5,712.0","5,673.0","5.23K","0.21%"
"03/13/2024","5,683.0","5,729.0","5,729.0","5,671.0","8.23K","-0.18%"
"03/12/2024","5,693.0","5,647.0","5,709.2","5,626.2","3.62K","1.53%"
"03/11/2024","5,607.0","5,624.0","5,641.0","5,567.0","16.57K","-1.70%"
"03/08/2024","5,704.0","5,760.0","5,812.0","5,704.0","4.92K","-0.83%"
"03/07/2024","5,752.0","5,690.0","5,760.0","5,668.5","12.94K","0.80%"
"03/06/2024","5,706.5","5,684.0","5,718.9","5,679.0","13.33K","0.93%"
"03/05/2024","5,654.0","5,724.1","5,731.0","5,632.8","6.01K","-1.27%"
"03/04/2024","5,727.0","5,721.0","5,732.0","5,706.0","15.62K","0.56%"
"03/01/2024","5,695.0","5,649.0","5,698.1","5,637.0","20.62K","2.04%"
"02/29/2024","5,581.0","5,551.0","5,595.0","5,545.1","5.09K","0.40%"
"02/28/2024","5,558.5","5,574.0","5,574.0","5,545.0","2.70K","0.11%"
"02/27/2024","5,552.5","5,565.3","5,574.0","5,551.0","2.11K","-0.40%"
"02/26/2024","5,575.0","5,547.5","5,577.0","5,547.5","3.77K","0.22%"
"02/23/2024","5,563.0","5,569.0","5,587.5","5,550.0","12.85K","0.12%"
